site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Working Student - Portfolio Management Support for Data Analytics (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",2026-05-05,https://www.linkedin.com/jobs/view/4410583421 , ,li-4410583421,fulltime,,,,,,False,entry level,Finance and Sales,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,Werkstudent Data Analytics (m/w/d),Omnicare,"Unterföhring, Bavaria, Germany",2026-05-05,https://www.linkedin.com/jobs/view/4410519484 , ,li-4410519484,fulltime,,,,,,False,entry level,Project Management,,bewerbung@omnicare.de,Biotechnology Research,https://www.linkedin.com/company/omnicare-pharma-gmbh,,,,,,,,,,,
linkedin,Working Student - Content Operations (m/f/d),social sweethearts GmbH,"Cologne, North Rhine-Westphalia, Germany",2026-05-05,https://www.linkedin.com/jobs/view/4410720779 , ,li-4410720779,fulltime,,,,,,False,internship,Other,,,IT Services and IT Consulting,https://de.linkedin.com/company/social-sweethearts-gmbh,,,,,,,,,,,
linkedin,Intern AI Strategy & Data Innovation (m/f/d) - Join us from June,OMMAX,,2026-05-05,https://www.linkedin.com/jobs/view/4409343212 , ,li-4409343212,fulltime,,,,,,False,internship,"Consulting, Strategy/Planning, and Business Development",,,Business Consulting and Services,https://de.linkedin.com/company/ommax,,,,,,,,,,,
linkedin,Internship: Agentic AI for Telecom Research (m/f/d),Ericsson,"Herzogenrath, North Rhine-Westphalia, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4408649593 , ,li-4408649593,fulltime,,,,,,False,not applicable,Other,,,Telecommunications,https://se.linkedin.com/company/ericsson,,,,,,,,,,,
linkedin,Intern (f/m/d) Data Analysis & Machine Learning Software Engineer – Flight Safety,Rocket Factory Augsburg - RFA,"Augsburg, Bavaria, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4408653147 , ,li-4408653147,volunteer,,,,,,False,internship,Engineering and Information Technology,,,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/rfa-space,,,,,,,,,,,
linkedin,Intern (m/f/d) Mathematical Modeling,Rocket Factory Augsburg - RFA,"Augsburg, Bavaria, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4408660115 , ,li-4408660115,internship,,,,,,False,internship,Education and Training,,,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/rfa-space,,,,,,,,,,,
linkedin,Applied AI Engineer Intern (all genders),revel8,"Munich, Bavaria, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4346088677 , ,li-4346088677,internship,,,,,,False,entry level,Engineering and Information Technology,,,Data Security Software Products,https://de.linkedin.com/company/revel8ai,,,,,,,,,,,
linkedin,Audio Machine Learning Intern,Bose Corporation,"Stuttgart, Baden-Württemberg, Germany",2026-05-04,https://www.linkedin.com/jobs/view/4407798330 , ,li-4407798330,fulltime,,,,,,False,internship,Engineering and Information Technology,,_accommodationrequest@bose.com,Computers and Electronics Manufacturing,https://www.linkedin.com/company/bose-corporation,,,,,,,,,,,
linkedin,"2026 Applied Scientist Intern, Amazon University Talent Acquisition",Amazon,"Munich, Bavaria, Germany",2026-05-03,https://www.linkedin.com/jobs/view/4369763629 , ,li-4369763629,fulltime,,,,,,True,not applicable,"Research, Analyst, and Information Technology",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Internship - Bioprocess Data Science and Causal AI,Boehringer Ingelheim,"Biberach an der Riß, Baden-Württemberg, Germany",2026-05-02,https://www.linkedin.com/jobs/view/4370545727 , ,li-4370545727,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Pharmaceutical Manufacturing,https://de.linkedin.com/company/boehringer-ingelheim,,,,,,,,,,,
linkedin,Intern Artificial Intelligence (m/f/d)*,Munich Re,"Munich, Bavaria, Germany",2026-05-01,https://www.linkedin.com/jobs/view/4378331224 , ,li-4378331224,fulltime,,,,,,True,internship,Information Technology,,,Insurance,https://de.linkedin.com/company/munich-re,,,,,,,,,,,
linkedin,Taste The Future - Project & Data Management Intern (m/f/d),Mondelēz International,"Bremen, Bremen, Germany",2026-05-01,https://www.linkedin.com/jobs/view/4400218182 , ,li-4400218182,fulltime,,,,,,False,not applicable,Information Technology,,-Bremen@mdlz.com,"Food and Beverage Manufacturing, Food and Beverage Services, and Manufacturing",https://www.linkedin.com/company/mondelezinternational,,,,,,,,,,,
linkedin,Internship - Machine Learning Research Engineer,Perplexity,"Berlin, Berlin, Germany",2026-05-01,https://www.linkedin.com/jobs/view/4354480213 , ,li-4354480213,volunteer,,,,,,False,internship,Education and Training,,,Software Development,https://www.linkedin.com/company/perplexity-ai,,,,,,,,,,,
linkedin,Intern Multimodal Agentic AI for In-car Voice Assistant (f/m/x),BMW Group,"Munich, Bavaria, Germany",2026-04-30,https://www.linkedin.com/jobs/view/4385028329 , ,li-4385028329,internship,,,,,,False,internship,Administrative,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/bmw-group,,,,,,,,,,,
linkedin,Internship - Agentic AI for Computational Biology (all genders),Merck Healthcare,"Darmstadt, Hesse, Germany",2026-04-30,https://www.linkedin.com/jobs/view/4409048479 , ,li-4409048479,fulltime,,,,,,False,entry level,Education and Training,,,Pharmaceutical Manufacturing,https://de.linkedin.com/company/merck-healthcare,,,,,,,,,,,
