site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,AI/ML Engineer - Fully Remote | Upto $85/hr,Mercor,,2026-06-18,https://www.linkedin.com/jobs/view/4430191267 , ,li-4430191267,parttime,,,,,,True,not applicable,Engineering,,support@mercor.com,Software Development,https://www.linkedin.com/company/mercor-ai,,,,,,,,,,,
linkedin,Data Scientist,Kaufland e-commerce,"Berlin, Berlin, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4428726329 , ,li-4428726329,fulltime,,,,,,True,entry level,Engineering and Information Technology,,,Online and Mail Order Retail,https://de.linkedin.com/company/kauflandecommerce,,,,,,,,,,,
linkedin,Applied AI & Automation Engineer (all genders),Glow25,,2026-06-18,https://www.linkedin.com/jobs/view/4427828414 , ,li-4427828414,fulltime,,,,,,False,entry level,Other,,,Food and Beverage Services,https://www.linkedin.com/company/glow25,,,,,,,,,,,
linkedin,Product Analyst,Jobgether,,2026-06-18,https://www.linkedin.com/jobs/view/4429092858 , ,li-4429092858,fulltime,,,,,,True,associate,"Research, Analyst, and Information Technology",,,Internet Marketplace Platforms,https://be.linkedin.com/company/jobgether,,,,,,,,,,,
linkedin,AI Engineer – Agentic Experience (all genders),Holidu,"Munich, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4419979266 , ,li-4419979266,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/holidu,,,,,,,,,,,
linkedin,Forward Deployed AI Engineer (m/w/d),One Thousand,"Berlin, Berlin, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4429361444 , ,li-4429361444,fulltime,,,,,,True,associate,Information Technology,,,IT Services and IT Consulting and Software Development,https://de.linkedin.com/company/one-thousand-ai,,,,,,,,,,,
linkedin,"Senior Epidemiologist, Data Scientist or Statistician (m/f/d)",Universitätsmedizin Greifswald,"Greifswald, Mecklenburg-West Pomerania, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4426452840 , ,li-4426452840,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Hospitals and Health Care,https://de.linkedin.com/company/umgreifswald,,,,,,,,,,,
linkedin,Data Scientist (Senior),team.blue,,2026-06-18,https://www.linkedin.com/jobs/view/4430487367 , ,li-4430487367,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Software Development,https://be.linkedin.com/company/teamblue,,,,,,,,,,,
linkedin,Data Scientist (m/w/d) mit Schwerpunkt HR,Dirk Rossmann GmbH,"Burgwedel, Lower Saxony, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4410029391 , ,li-4410029391,fulltime,,,,,,False,associate,Engineering and Information Technology,,,Retail,https://de.linkedin.com/company/dirk-rossmann-gmbh,,,,,,,,,,,
linkedin,Data Manager,Jobgether,,2026-06-18,https://www.linkedin.com/jobs/view/4430176976 , ,li-4430176976,fulltime,,,,,,True,mid-senior level,Information Technology,,,Internet Marketplace Platforms,https://be.linkedin.com/company/jobgether,,,,,,,,,,,
linkedin,Senior AI Engineer,European Tech Recruit,"Munich, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430433120 , ,li-4430433120,fulltime,,,,,,False,mid-senior level,Engineering,,,Software Development,https://uk.linkedin.com/company/european-tech-recruit,,,,,,,,,,,
linkedin,Unit Lead Data (m/w/d),JobRad,"Freiburg, Baden-Württemberg, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4408513739 , ,li-4408513739,fulltime,,,,,,False,mid-senior level,Information Technology,,,Financial Services,https://de.linkedin.com/company/jobrad-gmbh,,,,,,,,,,,
linkedin,Workforce Analytics & Reporting Specialist,EMBL,"Heidelberg, Baden-Württemberg, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430176821 , ,li-4430176821,fulltime,,,,,,True,mid-senior level,"Research, Analyst, and Information Technology",,,Research Services,https://de.linkedin.com/company/embl,,,,,,,,,,,
linkedin,Business Development Manager,Temu,,2026-06-18,https://www.linkedin.com/jobs/view/4428798050 , ,li-4428798050,fulltime,,,,,,False,mid-senior level,"Business Development, Purchasing, and Sales",,,"Technology, Information and Internet and Internet Marketplace Platforms",https://www.linkedin.com/company/temuapp,,,,,,,,,,,
linkedin,Biology Specialist (Masters/PhDs),Alignerr,,2026-06-18,https://www.linkedin.com/jobs/view/4430166340 , ,li-4430166340,contract,,,,,,True,mid-senior level,"Research, Analyst, and Information Technology",,,"Technology, Information and Internet",https://www.linkedin.com/company/alignerr,,,,,,,,,,,
linkedin,(Senior) AI Research Engineer (f/m/d) for the Research & Innovation Team,SAP,"Potsdam, Brandenburg, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4394717747 , ,li-4394717747,fulltime,,,,,,False,not applicable,Engineering and Information Technology,,Careers@sap.com,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",https://de.linkedin.com/company/sap,,,,,,,,,,,
