site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,"Mechanical Design Engineer Internship, Automated Test Equipment, Manufacturing Test & Engineering, Powertrain Engineering Europe(m/w/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420222515 , ,li-4420222515,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,Praktikum Entwicklung Interieur - Instrumententafel,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4363091314 , ,li-4363091314,fulltime,,,,,,False,internship,Other,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,"Cell Abuse Testing Engineer Internship, Powertrain Engineering Europe (m/w/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420206942 , ,li-4420206942,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,"Mechanical Design Engineer Intern, Drive Unit/Traction Inverter/E-Motor, Powertrain Engineering Europe (m/f/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420217689 , ,li-4420217689,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,"Battery Testing Engineer Internship, Powertrain Engineering Europe (m/w/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420220698 , ,li-4420220698,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,"Cell Qualification Testing Engineer Internship, Powertrain Engineering Europe (m/w/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420219577 , ,li-4420219577,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,"Vehicle Testing Engineer Internship, Powertrain Engineering Europe (m/w/d)",Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420222468 , ,li-4420222468,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,Mechanical Design Engineering Internship (m/w/d),Tesla,"Berlin, Berlin, Germany",2026-05-28,https://www.linkedin.com/jobs/view/4420206923 , ,li-4420206923,internship,,,,,,False,internship,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,Internship / Master Thesis: IOD Systems Engineer,deltaVision - fluid control & aerospace,"Munich, Bavaria, Germany",2026-05-27,https://www.linkedin.com/jobs/view/4417201741 , ,li-4417201741,internship,,,,,,False,entry level,Engineering,,,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/deltavision-fluid-control-aerospace,,,,,,,,,,,
linkedin,Werkstudent (m/w/d) Netzplanung,Westnetz,"Bad Bentheim, Lower Saxony, Germany",2026-05-27,https://www.linkedin.com/jobs/view/4388517335 , ,li-4388517335,parttime,,,,,,False,internship,Administrative,,alina.hallau@westnetz.de,Utilities,https://de.linkedin.com/company/westnetz,,,,,,,,,,,
linkedin,Working Student – Mechanical Design / Engineering (f/m/x),ZEISS Group,"Oberkochen, Baden-Württemberg, Germany",2026-05-27,https://www.linkedin.com/jobs/view/4419830335 , ,li-4419830335,parttime,,,,,,False,internship,"Engineering, Design, and Other",,,"Manufacturing and Appliances, Electrical, and Electronics Manufacturing",https://de.linkedin.com/company/zeiss,,,,,,,,,,,
linkedin,Xiaomi EV - Engineer Internship (vehicle dynamics and powertrain),Xiaomi Technology,"Munich, Bavaria, Germany",,https://www.linkedin.com/jobs/view/4421479164 , ,li-4421479164,internship,,,,,,False,internship,Engineering,,,Motor Vehicle Manufacturing,https://cn.linkedin.com/company/xiaomi-technology,,,,,,,,,,,
