site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,"Mechanical Design Engineer (m/w/d, all levels) - Seating - Berlin, Germany",Tesla,"Berlin, Berlin, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430705288 , ,li-4430705288,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",https://www.linkedin.com/company/tesla-motors,,,,,,,,,,,
linkedin,Projektierungsingenieur für Pumpensteuerungen,HOMA Pumpenfabrik GmbH,"Neunkirchen-Seelscheid, North Rhine-Westphalia, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430405756 , ,li-4430405756,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Machinery Manufacturing,https://de.linkedin.com/company/homa-pumpenfabrik-gmbh,,,,,,,,,,,
linkedin,Technischer Zeichner CAD Konstrukteur(m/w/d),PSH Personal Service GmbH,"Münster, North Rhine-Westphalia, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4428781326 , ,li-4428781326,fulltime,,,,,,False,entry level,"Design, Art/Creative, and Information Technology",,,Human Resources Services,https://www.linkedin.com/company/psh-personal-service-gmbh,,,,,,,,,,,
linkedin,Quality & Reliability Engineer Team Lead (f/m/d),HOLOPLOT,"Berlin, Berlin, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4424072982 , ,li-4424072982,fulltime,,,,,,False,associate,Engineering,,,"Appliances, Electrical, and Electronics Manufacturing",https://de.linkedin.com/company/holoplot-gmbh,,,,,,,,,,,
linkedin,(Senior) System Engineer (m/w/d) || netgo tax,netgo,"Düsseldorf, North Rhine-Westphalia, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4410742201 , ,li-4410742201,fulltime,,,,,,False,mid-senior level,Information Technology,,jobs@netgo.de,IT Services and IT Consulting,https://de.linkedin.com/company/netgo-grp,,,,,,,,,,,
linkedin,(Senior) System Engineer (m/w/d) || netgo tax,netgo,"Würselen, North Rhine-Westphalia, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4410723810 , ,li-4410723810,fulltime,,,,,,False,mid-senior level,Information Technology,,jobs@netgo.de,IT Services and IT Consulting,https://de.linkedin.com/company/netgo-grp,,,,,,,,,,,
linkedin,Electronics Development Engineer for Humanoid Robotics (m/f/d),SCHUNK - Hand in hand for tomorrow,"Munich, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4418854611 , ,li-4418854611,fulltime,,,,,,False,associate,Engineering and Information Technology,,,Automation Machinery Manufacturing,https://de.linkedin.com/company/schunk,,,,,,,,,,,
linkedin,Survivability Strategist - GM Defense (Global),General Motors,,2026-06-18,https://www.linkedin.com/jobs/view/4430412856 , ,li-4430412856,fulltime,,,,,,False,not applicable,Management and Manufacturing,,,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",https://www.linkedin.com/company/general-motors,,,,,,,,,,,
linkedin,Engineer (f/m/d) for robotics and sensor integration,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Dresden, Saxony, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4429334135 , ,li-4429334135,parttime,,,,,,False,entry level,Engineering and Information Technology,,jobs@hzdr.de,Research Services,https://de.linkedin.com/company/hzdr,,,,,,,,,,,
linkedin,Head of Systems Engineering (w/m/d),MBDA Deutschland,"Schrobenhausen, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430182248 , ,li-4430182248,fulltime,,,,,,False,director,Information Technology,,,Defense and Space Manufacturing,https://de.linkedin.com/company/mbda-deutschland,,,,,,,,,,,
linkedin,Bauingenieur:in als Projektingenieur:in Fahrbahn und Tiefbau,Deutsche Bahn,"Wolfsburg, Lower Saxony, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4402215991 , ,li-4402215991,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Truck Transportation,https://de.linkedin.com/company/deutschebahn,,,,,,,,,,,
linkedin,Development Engineer Mechanics for Humanoid Robotics (m/f/d),SCHUNK - Hand in hand for tomorrow,"Munich, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4419026557 , ,li-4419026557,fulltime,,,,,,False,associate,Engineering and Information Technology,,,Automation Machinery Manufacturing,https://de.linkedin.com/company/schunk,,,,,,,,,,,
linkedin,Project Engineering Manager m/w/d,GE Vernova,"Dresden, Saxony, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4402037786 , ,li-4402037786,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Energy Technology,https://www.linkedin.com/company/gevernova,,,,,,,,,,,
linkedin,Mechanical Integrity Engineer,Intertek Italia,,2026-06-18,https://www.linkedin.com/jobs/view/4430414444 , ,li-4430414444,temporary,,,,,,False,mid-senior level,Other,,,IT Services and IT Consulting,https://it.linkedin.com/company/intertek-italia,,,,,,,,,,,
linkedin,"Mechanical Design Engineer (m,w,d)",Molex,"Schönefeld, Brandenburg, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4409257753 , ,li-4409257753,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,"Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/company/molex,,,,,,,,,,,
linkedin,Design Engineer (w/m/d),Siemens Energy,"Erlangen, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4429042436 , ,li-4429042436,fulltime,,,,,,True,entry level,Research,,,"Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/company/siemens-energy,,,,,,,,,,,
linkedin,Berechnungsingenieur für Strukturmechanik und -dynamik (all genders) - eMoSys GmbH,MTU Aero Engines,"Munich, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4430491897 , ,li-4430491897,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,bewerbung@emosys.com,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/mtu-aero-engines,,,,,,,,,,,
linkedin,R&D Engineer – Metal Processing (all genders),Blackwave,"Taufkirchen, Bavaria, Germany",2026-06-18,https://www.linkedin.com/jobs/view/4427852161 , ,li-4427852161,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Aviation and Aerospace Component Manufacturing,https://de.linkedin.com/company/blackwave-gmbh,,,,,,,,,,,
