site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Internship – Engineering & Data Analytics in Cloud Systems and Performance Optimization (all genders welcome),AUDI AG,"Ingolstadt, Bavaria, Germany",2026-05-20,https://www.linkedin.com/jobs/view/4413606917 , ,li-4413606917,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/audi-ag,,,,,,,,,,,
linkedin,Head of Internal Technology & AI,Jobgether,,2026-05-20,https://www.linkedin.com/jobs/view/4417085054 , ,li-4417085054,fulltime,,,,,,True,director,Information Technology,,,Internet Marketplace Platforms,https://be.linkedin.com/company/jobgether,,,,,,,,,,,
linkedin,(Intern) Growth & Revenue Operations,BABLE Smart Cities,"Stuttgart, Baden-Württemberg, Germany",2026-05-20,https://www.linkedin.com/jobs/view/4416532831 , ,li-4416532831,internship,,,,,,False,internship,Finance,,,"Technology, Information and Internet",https://de.linkedin.com/company/bable,,,,,,,,,,,
linkedin,Praktikant / Werkstudent Data Analytics - Innovation & Transformation (m/w/d) in München,Deloitte,"Munich, Bavaria, Germany",2026-05-20,https://www.linkedin.com/jobs/view/4376588523 , ,li-4376588523,fulltime,,,,,,False,internship,Analyst and Consulting,,career@deloitte.de,Business Consulting and Services,https://www.linkedin.com/company/deloitte,,,,,,,,,,,
linkedin,Praktikum Data Engineer (w/m/d) @Metrify,Enpal,"Berlin, Berlin, Germany",2026-05-19,https://www.linkedin.com/jobs/view/4416656273 , ,li-4416656273,fulltime,,,,,,False,internship,Education and Training,,,Energy Technology,https://de.linkedin.com/company/enpal,,,,,,,,,,,
linkedin,"Deutsche Bank Internship (f/m/x) in Investment Bank: Transformation, Data & Process management, Chief Administrative Office (CAO) for Global Markets (FIC) and Corporate Finance (O&A) 2026",Deutsche Bank,"Frankfurt am Main, Hesse, Germany",2026-05-19,https://www.linkedin.com/jobs/view/4338193570 , ,li-4338193570,volunteer,,,,,,False,internship,Management and Manufacturing,,,Financial Services,https://de.linkedin.com/company/deutsche-bank,,,,,,,,,,,
linkedin,Werkstudent Data Technologies (m/w/d),Telefónica Germany,"Düsseldorf, North Rhine-Westphalia, Germany",2026-05-19,https://www.linkedin.com/jobs/view/4415950316 , ,li-4415950316,fulltime,,,,,,False,internship,Information Technology,,-recruiting@telefonica.com,Telecommunications,https://de.linkedin.com/company/telefonica-germany,,,,,,,,,,,
linkedin,Intern - Advisory Services,IQVIA Laboratories,"Munich, Bavaria, Germany",2026-05-19,https://www.linkedin.com/jobs/view/4416923471 , ,li-4416923471,volunteer,,,,,,False,internship,Finance and Sales,,,Pharmaceutical Manufacturing,https://www.linkedin.com/company/iqvia-laboratories,,,,,,,,,,,
linkedin,"Deutsche Bank Internship (f/m/x) in Technology, Data & Innovation 2026 Berlin",Deutsche Bank,"Berlin, Berlin, Germany",2026-05-18,https://www.linkedin.com/jobs/view/4338103919 , ,li-4338103919,volunteer,,,,,,True,internship,Finance and Sales,,,Financial Services,https://de.linkedin.com/company/deutsche-bank,,,,,,,,,,,
linkedin,"Deutsche Bank Internship (f/m/x) in Technology, Data & Innovation 2026 - Frankfurt",Deutsche Bank,"Frankfurt am Main, Hesse, Germany",2026-05-18,https://www.linkedin.com/jobs/view/4337984549 , ,li-4337984549,volunteer,,,,,,True,internship,Finance and Sales,,,Financial Services,https://de.linkedin.com/company/deutsche-bank,,,,,,,,,,,
linkedin,Werkstudent - Global Sales Data Analytics (m/f/d),DEKRA Germany,"Stuttgart, Baden-Württemberg, Germany",2026-05-18,https://www.linkedin.com/jobs/view/4416095631 , ,li-4416095631,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,sarah.kraeft@dekra.com,Public Safety,https://de.linkedin.com/company/dekra-germany,,,,,,,,,,,
linkedin,Praktikum (w/m/d) im Bereich Data Analytics im Qualitätsmanagement bei Daimler Buses,Daimler Buses GmbH,"Mannheim, Baden-Württemberg, Germany",2026-05-18,https://www.linkedin.com/jobs/view/4416441491 , ,li-4416441491,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/daimlerbuses,,,,,,,,,,,
linkedin,Werkstudent / Werkstudentin (m/w/d) im Bereich IT-Personalservices für HR Daten und Prozesse,Deutsche Bundesbank,"Frankfurt am Main, Hesse, Germany",2026-05-18,https://www.linkedin.com/jobs/view/4416065734 , ,li-4416065734,fulltime,,,,,,False,internship,Information Technology,,"jobs@bundesbank.de, -Personalservices@bundesbank.de",Banking,https://de.linkedin.com/company/deutsche-bundesbank,,,,,,,,,,,
linkedin,Working Student (m/f/d) - Data Entry,Trench Group,"Erlangen, Bavaria, Germany",2026-05-16,https://www.linkedin.com/jobs/view/4405349716 , ,li-4405349716,fulltime,,,,,,False,internship,Education and Training,,,"Industrial Machinery Manufacturing, Renewable Energy Equipment Manufacturing, and Semiconductor Manufacturing",https://de.linkedin.com/company/trench-group,,,,,,,,,,,
linkedin,Intern Data Engineering & Business Intelligence in Financial Services (f/m/x),BMW Group,"Munich, Bavaria, Germany",2026-05-15,https://www.linkedin.com/jobs/view/4403235197 , ,li-4403235197,internship,,,,,,False,internship,Business Development and Sales,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/bmw-group,,,,,,,,,,,
