site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Data Analytics Engineer (m/f/d),Adsquare,"Berlin, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4452582578 , ,li-4452582578,fulltime,,,,,,True,mid-senior level,Advertising,,,Software Development and Advertising Services,https://de.linkedin.com/company/adsquare-gmbh,,,,,,,,,,,
linkedin,Sr. Solutions Engineer,Databricks,"Munich, Bavaria, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4452809403 , ,li-4452809403,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Software Development,https://www.linkedin.com/company/databricks,,,,,,,,,,,
linkedin,Data Engineer (m/w/d),Michael Page,"Hamburg, Hamburg, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4446132223 , ,li-4446132223,fulltime,,,,,,False,mid-senior level,Information Technology and Engineering,,,"Telecommunications, Biotechnology Research, and IT Services and IT Consulting",https://uk.linkedin.com/company/michael-page,,,,,,,,,,,
linkedin,Data Operations Analyst (m/f/d),Adsquare,"Berlin, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4452588508 , ,li-4452588508,fulltime,,,,,,False,mid-senior level,Product Management and Analyst,,,Software Development and Advertising Services,https://de.linkedin.com/company/adsquare-gmbh,,,,,,,,,,,
linkedin,"Senior Analyst, Sales Analytics and Reporting (m/f/d)",Fluence,"Berlin, Berlin, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4455752985 , ,li-4455752985,fulltime,,,,,,False,mid-senior level,"Research, Analyst, and Information Technology",,,Renewable Energy Semiconductor Manufacturing,https://www.linkedin.com/company/fluenceenergy,,,,,,,,,,,
linkedin,(Senior) Marketing Analyst (m/f/d) - Berlin,Freenow,"Berlin, Berlin, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4445705146 , ,li-4445705146,fulltime,,,,,,False,mid-senior level,Marketing and Sales,,,Internet Marketplace Platforms,https://de.linkedin.com/company/freenow,,,,,,,,,,,
linkedin,Data Scientist / AI Consultant (m/w/d),IBM,"Munich, Bavaria, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4452800791 , ,li-4452800791,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,IT Services and IT Consulting,https://www.linkedin.com/company/ibm,,,,,,,,,,,
linkedin,Data Engineer - Digital Health Excellence Center (w/m/d),EY,"Munich, Bavaria, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4385082617 , ,li-4385082617,fulltime,,,,,,False,mid-senior level,Information Technology,,,Professional Services,https://uk.linkedin.com/company/ernstandyoung,,,,,,,,,,,
linkedin,Reporting Specialist – Energy Metering & KPIs  (mfd),NTT Global Data Centers,,2026-08-18,https://www.linkedin.com/jobs/view/4454769085 , ,li-4454769085,fulltime,,,,,,False,associate,Engineering,,,"Construction, Technology, Information and Media, and Energy Technology",https://uk.linkedin.com/company/ntt-global-data-centers,,,,,,,,,,,
linkedin,Senior Professional Fleet Optimization (m/w/d),SIXT,"Munich, Bavaria, Germany",2026-08-18,https://www.linkedin.com/jobs/view/4455709706 , ,li-4455709706,fulltime,,,,,,False,mid-senior level,Information Technology,,,Travel Arrangements,https://de.linkedin.com/company/sixt,,,,,,,,,,,
