site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Embedded Software Engineer,SR2 | Socially Responsible Recruitment | Certified B Corporation™,"Munich, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4429450479 , ,li-4429450479,fulltime,,,,,,False,mid-senior level,Information Technology,,,Defense and Space Manufacturing,https://uk.linkedin.com/company/sr2-socially-responsible-recruitment,,,,,,,,,,,
linkedin,System Security Ingenieur (m/w/d),KNDS Deutschland,"Kassel, Hesse, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431904363 , ,li-4431904363,fulltime,,,,,,False,mid-senior level,Information Technology,,,Defense and Space Manufacturing,https://de.linkedin.com/company/knds-deutschland,,,,,,,,,,,
linkedin,Principal Machine Learning Engineer,Almedia,"Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4435109347 , ,li-4435109347,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Advertising Services,https://de.linkedin.com/company/almediaco,,,,,,,,,,,
linkedin,Freelance Agent Evaluation Engineer,Mindrift,"Stuttgart, Baden-Württemberg, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431584247 , ,li-4431584247,parttime,,,,,,False,mid-senior level,Other,,,IT Services and IT Consulting,https://www.linkedin.com/company/mindrift-ai,,,,,,,,,,,
linkedin,Senior Embedded Systems Engineer,Open Ring,"Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431901160 , ,li-4431901160,other,,,,,,True,mid-senior level,Engineering and Information Technology,,,"Technology, Information and Internet",https://ee.linkedin.com/company/open-ring,,,,,,,,,,,
linkedin,Freelance Agent Evaluation Engineer,Mindrift,"Berlin, Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431596043 , ,li-4431596043,parttime,,,,,,False,mid-senior level,Other,,,IT Services and IT Consulting,https://www.linkedin.com/company/mindrift-ai,,,,,,,,,,,
linkedin,Hardwareingenieur:in,Scherer Staffing GmbH,"Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431901963 , ,li-4431901963,fulltime,,,,,,False,associate,Engineering,,,Industrial Machinery Manufacturing and Computers and Electronics Manufacturing,https://de.linkedin.com/company/schererstaffing,,,,,,,,,,,
linkedin,Analog Design Engineer m/f/d,Texas Instruments Europe,"Freising, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4425266113 , ,li-4425266113,volunteer,,,,,,False,entry level,Engineering and Information Technology,,,Semiconductor Manufacturing,https://www.linkedin.com/company/texas-instruments-europe,,,,,,,,,,,
linkedin,Electrical Integration Engineer,Skyeton,"Gilching, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431917545 , ,li-4431917545,fulltime,,,,,,False,mid-senior level,"Engineering, Manufacturing, and Other",,,"Robotics Engineering, Manufacturing, and Aviation and Aerospace Component Manufacturing",https://ua.linkedin.com/company/skyeton,,,,,,,,,,,
linkedin,Senior Robotics Hardware Engineer – Next Generation Platform (m/f/d),RobCo,"Munich, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434971796 , ,li-4434971796,fulltime,,,,,,True,associate,Engineering,,,Robot Manufacturing and Robotics Engineering,https://de.linkedin.com/company/robco-therobotcompany,,,,,,,,,,,
linkedin,Design Engineer III,Regal Rexnord,"Waldenburg, Baden-Württemberg, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434342199 , ,li-4434342199,fulltime,,,,,,True,mid-senior level,Engineering and Information Technology,,,"Electric Power Transmission, Control, and Distribution",https://www.linkedin.com/company/regal-rexnord,,,,,,,,,,,
linkedin,Senior CPU Performance Developer Technology Engineer,NVIDIA,,2026-06-30,https://www.linkedin.com/jobs/view/4425526840 , ,li-4425526840,fulltime,,,,,,False,mid-senior level,Engineering,,,Computer Hardware Manufacturing,https://www.linkedin.com/company/nvidia,,,,,,,,,,,
linkedin,Software Engineer (f/m/d) - Berlin,CYCLE,"Berlin, Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431957057 , ,li-4431957057,fulltime,,,,,,True,associate,Information Technology,,,Software Development,https://de.linkedin.com/company/cycle-eco,,,,,,,,,,,
linkedin,Process Engineer Micro-Optics (m/f/d),Corning Incorporated,"Berlin, Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434993243 , ,li-4434993243,fulltime,,,,,,False,mid-senior level,Management and Manufacturing,,accommodations@corning.com,"Glass, Ceramics and Concrete Manufacturing",https://www.linkedin.com/company/corning-incorporated,,,,,,,,,,,
linkedin,Senior Engineer,JC Intelligence Center,"Baden-Württemberg, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434905931 , ,li-4434905931,fulltime,,,,,,False,mid-senior level,Human Resources,,,Human Resources Services,https://cn.linkedin.com/company/%E4%BF%8A%E9%A9%B0%E5%BC%95%E6%99%BA-jc-intelligence-center,,,,,,,,,,,
linkedin,Video Engineer,5V Video,"Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4424571743 , ,li-4424571743,fulltime,,,,,,False,mid-senior level,Information Technology and Engineering,,,"Broadcast Media Production and Distribution, Software Development, and Movies, Videos, and Sound",https://uk.linkedin.com/company/5vvideo,,,,,,,,,,,
linkedin,Software Engineer,Astrum Talent,"North Rhine-Westphalia, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4435167360 , ,li-4435167360,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,"Space Research and Technology, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",https://uk.linkedin.com/company/astrum-talent,,,,,,,,,,,
linkedin,Wissenschaftliche/r Mitarbeiter/in - Computational Sensing Systems (m/w/d),German Aerospace Center (DLR),"Berlin, Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4433860353 , ,li-4433860353,fulltime,,,,,,False,entry level,"Research, Analyst, and Information Technology",,,Research Services,https://de.linkedin.com/company/dlr,,,,,,,,,,,
linkedin,Test & Validation Engineer,Nokia,"Nuremberg, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4405175168 , ,li-4405175168,fulltime,,,,,,False,not applicable,Quality Assurance,,,IT Services and IT Consulting and Telecommunications,https://fi.linkedin.com/company/nokia,,,,,,,,,,,
linkedin,Hardware Engineer Standardization - Optical Transceivers,Nokia,"Nuremberg, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431932992 , ,li-4431932992,fulltime,,,,,,False,not applicable,Engineering and Information Technology,,,IT Services and IT Consulting and Telecommunications,https://fi.linkedin.com/company/nokia,,,,,,,,,,,
linkedin,System Engineer (f/m/d) IP Transport,Deutsche Telekom,"Bonn, North Rhine-Westphalia, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4422904884 , ,li-4422904884,fulltime,,,,,,False,mid-senior level,Information Technology,,,Telecommunications,https://de.linkedin.com/company/telekom,,,,,,,,,,,
linkedin,Fachinformatiker/in für Systemintegration w/m/d – Langquaid,MAWOH Systemhaus GmbH,"Regensburg, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431947345 , ,li-4431947345,fulltime,,,,,,False,entry level,Quality Assurance,,,Information Services,https://de.linkedin.com/company/mawoh-systemhaus-gmbh,,,,,,,,,,,
linkedin,Senior Firmware Entwickler,2D Datarecording,"Karlsruhe, Baden-Württemberg, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434931678 , ,li-4434931678,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,"Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/company/2d-datarecording,,,,,,,,,,,
linkedin,Designer PDU Systems (m/f/d),Electronic components by Würth Elektronik,"Munich, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431598463 , ,li-4431598463,fulltime,,,,,,False,entry level,"Design, Art/Creative, and Information Technology",,,"Appliances, Electrical, and Electronics Manufacturing",https://de.linkedin.com/showcase/we-eisos-electronic-components/,,,,,,,,,,,
linkedin,(Sr) ENGINEER FOR SUSPENSION ENGINEERING DESIGN (M/F/D),Hyundai Motor Europe Technical Center GmbH,"Rüsselsheim, Hesse, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4352380572 , ,li-4352380572,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/hyundaimotoreuropetechnicalcentergmbh,,,,,,,,,,,
linkedin,Applications Engineer (m/f/d),Wolfspeed,"Unterschleißheim, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4420402272 , ,li-4420402272,fulltime,,,,,,True,mid-senior level,Engineering and Information Technology,,,Semiconductor Manufacturing,https://www.linkedin.com/company/wolfspeed,,,,,,,,,,,
linkedin,Entwicklungsingenieur (m/w/d),KNDS Deutschland,"Kassel, Hesse, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4435154869 , ,li-4435154869,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Defense and Space Manufacturing,https://de.linkedin.com/company/knds-deutschland,,,,,,,,,,,
linkedin,Field Application Engineer,Arrow Electronics,"Nuremberg, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4435174073 , ,li-4435174073,fulltime,,,,,,False,mid-senior level,Sales and Business Development,,,"Technology, Information and Internet",https://www.linkedin.com/company/arrow-electronics,,,,,,,,,,,
linkedin,Technical Integration & Operations Engineer,ZeroPhase,"Munich, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434320862 , ,li-4434320862,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,Telecommunications,https://de.linkedin.com/company/zerophase-defense,,,,,,,,,,,
linkedin,RF Validation & Test Automation Engineer  (m/f/d) (Cellular Modem),Harvey Nash,,2026-06-30,https://www.linkedin.com/jobs/view/4434995100 , ,li-4434995100,fulltime,,,,,,False,associate,Engineering,,aspasia.joannidou@nashdirect.de,"Telecommunications and Technology, Information and Media",https://uk.linkedin.com/company/harvey-nash,,,,,,,,,,,
linkedin,Go Engineer,SME Careers,,2026-06-30,https://www.linkedin.com/jobs/view/4416246386 , ,li-4416246386,contract,,,,,,True,mid-senior level,"Information Technology, Engineering, and Writing/Editing",,,"Technology, Information and Internet",https://www.linkedin.com/company/sme-careers,,,,,,,,,,,
linkedin,System Engineer (m/w/d),DNS:NET Internet Service GmbH,"Berlin, Berlin, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434973149 , ,li-4434973149,fulltime,,,,,,False,associate,Information Technology,,,Software Development,https://de.linkedin.com/company/dnsnet,,,,,,,,,,,
linkedin,Embedded Software Engineer,IC Resources,"Baden-Württemberg, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4434017405 , ,li-4434017405,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Staffing and Recruiting,https://uk.linkedin.com/company/icresources,,,,,,,,,,,
linkedin,Entwickler Hard-/Software (m/w/d),INLIGHT GmbH & Co. KG,"Hünxe, North Rhine-Westphalia, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4435110077 , ,li-4435110077,fulltime,,,,,,False,entry level,Engineering and Information Technology,,,"Appliances, Electrical, and Electronics Manufacturing",https://de.linkedin.com/company/inlight-gmbh-co-kg,,,,,,,,,,,
linkedin,Ingenieur:in für eingebettete Software,APRIORI - business solutions AG,"Munich, Bavaria, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431927966 , ,li-4431927966,fulltime,,,,,,False,associate,Information Technology,,,Telecommunications,https://de.linkedin.com/company/apriori---business-solutions-ag,,,,,,,,,,,
linkedin,Product Engineer – Embedded Block Systems (EBS) for Track Infrastructure (m/f/d),edilon)(sedra,"Wiesbaden, Hesse, Germany",2026-06-30,https://www.linkedin.com/jobs/view/4431947222 , ,li-4431947222,fulltime,,,,,,False,associate,Engineering,,,Railroad Equipment Manufacturing and Rail Transportation,https://de.linkedin.com/company/edilonsedra,,,,,,,,,,,
linkedin,Rust Entwickler / System Engineer – HiL-Laborbetriebssystem (m/w/d),Randstad Deutschland,"Dresden, Saxony, Germany",2026-06-29,https://www.linkedin.com/jobs/view/4434757416 , ,li-4434757416,fulltime,,,,,,False,mid-senior level,Information Technology,,,Human Resources Services,https://de.linkedin.com/company/randstad-deutschland,,,,,,,,,,,
linkedin,Software Engineer Automatisierungstechnik Industrie (m/w/d),Etteplan,"Wiesloch, Baden-Württemberg, Germany",2026-06-29,https://www.linkedin.com/jobs/view/4345000014 , ,li-4345000014,fulltime,,,,,,True,entry level,Engineering,,,"Technology, Information and Media, Manufacturing, and Utilities",https://fi.linkedin.com/company/etteplan-group,,,,,,,,,,,
linkedin,Machine Learning Engineer (m/f/d),Siemens Energy,"Erlangen, Bavaria, Germany",2026-06-29,https://www.linkedin.com/jobs/view/4434137342 , ,li-4434137342,fulltime,,,,,,True,mid-senior level,Information Technology,,,"Appliances, Electrical, and Electronics Manufacturing",https://www.linkedin.com/company/siemens-energy,,,,,,,,,,,
linkedin,Space Situational Awareness Engineer,OKAPI:Orbits,"Brunswick, Lower Saxony, Germany",2026-06-29,https://www.linkedin.com/jobs/view/4431065461 , ,li-4431065461,fulltime,,,,,,True,associate,Information Technology,,,Software Development,https://de.linkedin.com/company/okapi-orbits,,,,,,,,,,,
linkedin,"R&D Engineer: Test Engineering Wafer Test, Final Module Test & Characterization",Broadcom,"Regensburg, Bavaria, Germany",2026-06-29,https://www.linkedin.com/jobs/view/4405967897 , ,li-4405967897,fulltime,,,,,,False,mid-senior level,Engineering and Information Technology,,,Semiconductor Manufacturing,https://www.linkedin.com/company/broadcom,,,,,,,,,,,
