site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Algorithm Developer - EDA Synthesis Tools,IC Resources,"Munich, Bavaria, Germany",2026-08-25,https://www.linkedin.com/jobs/view/4458731158 , ,li-4458731158,fulltime,,,,,,False,associate,Engineering,,,Software Development and Computers and Electronics Manufacturing,https://uk.linkedin.com/company/icresources,,,,,,,,,,,
linkedin,Praktikum als Elektronikentwickler (m/w/d),Vogelsang GmbH & Co. KG,"Essen, Lower Saxony, Germany",2026-08-25,https://www.linkedin.com/jobs/view/4457483567 , ,li-4457483567,fulltime,,,,,,False,internship,Engineering and Information Technology,,,Machinery Manufacturing,https://de.linkedin.com/company/vogelsang-gmbh-&-co.-kg,,,,,,,,,,,
linkedin,Themen für Facharbeiten | Abschlussarbeiten im Bereich Forschung und Entwicklung Infrarotdetektoren m/w/d,InfraTec GmbH Infrarotsensorik und Messtechnik,"Dresden, Saxony, Germany",2026-08-25,https://www.linkedin.com/jobs/view/4456920301 , ,li-4456920301,internship,,,,,,False,internship,Science and Research,,,"Appliances, Electrical, and Electronics Manufacturing",https://de.linkedin.com/company/infratec-gmbh-infrarotsensorik-und-messtechnik,,,,,,,,,,,
linkedin,Internship Engineering (m/f/d),Collins Aerospace,"Heidelberg, Baden-Württemberg, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4447875567 , ,li-4447875567,fulltime,,,,,,False,internship,Engineering and Information Technology,,,Aviation and Aerospace Component Manufacturing,https://www.linkedin.com/company/collins-aerospace,,,,,,,,,,,
linkedin,Praktikum für Mechatronik bei Innovation Project Management,Siemens Healthineers,"Kemnath, Bavaria, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4456521001 , ,li-4456521001,fulltime,,,,,,False,internship,Product Management,,,"Medical Equipment Manufacturing, Hospitals and Health Care, and Biotechnology Research",https://de.linkedin.com/company/siemens-healthineers,,,,,,,,,,,
linkedin,Applications Eng Intern m/f/d,Texas Instruments Europe,"Freising, Bavaria, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4457108172 , ,li-4457108172,internship,,,,,,False,internship,Engineering and Information Technology,,,Semiconductor Manufacturing,https://www.linkedin.com/company/texas-instruments-europe,,,,,,,,,,,
linkedin,Master's thesis (m/f/x) -  Design of a diode laser,German Aerospace Center (DLR),"Hamburg, Hamburg, Germany",2026-08-24,https://www.linkedin.com/jobs/view/4456719775 , ,li-4456719775,parttime,,,,,,False,internship,Other,,,Research Services,https://de.linkedin.com/company/dlr,,,,,,,,,,,
linkedin,Electrical Engineer - Working student (m/f/d),oculai,"Munich, Bavaria, Germany",2026-08-21,https://www.linkedin.com/jobs/view/4454196005 , ,li-4454196005,parttime,,,,,,False,entry level,Engineering,,,Software Development,https://de.linkedin.com/company/oculai,,,,,,,,,,,
linkedin,Working Student - Microcontroller Communication (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",2026-08-20,https://www.linkedin.com/jobs/view/4456723477 , ,li-4456723477,fulltime,,,,,,False,internship,Education and Training,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,Braunschweig New Grad and Intern Applications,Ciena,,,https://www.linkedin.com/jobs/view/4427416689 , ,li-4427416689,fulltime,,,,,,False,internship,Information Technology,,,Telecommunications,https://www.linkedin.com/company/ciena,,,,,,,,,,,
linkedin,Abschlussarbeit: Entwicklung einer automatischen Sensorkalibrierung für eine Echtzeit-Messtechnik-Plattform,Bosch,"Homburg, Saarland, Germany",,https://www.linkedin.com/jobs/view/4457971149 , ,li-4457971149,fulltime,,,,,,False,internship,Engineering,,,Mechanical Or Industrial Engineering,https://de.linkedin.com/company/bosch,,,,,,,,,,,
