site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Internship Innovation Strategy & Project Management,Henkel,"Düsseldorf, North Rhine-Westphalia, Germany",2026-04-24,https://www.linkedin.com/jobs/view/4406142211 , ,li-4406142211,fulltime,,,,,,False,internship,Project Management and Information Technology,,,Chemical Manufacturing and Manufacturing,https://de.linkedin.com/company/henkel,,,,,,,,,,,
linkedin,Head of Project Development – International (Solar) | Bavaria,Amoria Bond,"Bavaria, Germany",2026-04-24,https://www.linkedin.com/jobs/view/4403743576 , ,li-4403743576,fulltime,,,,,,False,director,"Engineering, Project Management, and Business Development",,,"Services for Renewable Energy, Energy Technology, and Electric Power Generation",https://uk.linkedin.com/company/amoria-bond,,,,,,,,,,,
linkedin,Project Manager Internal Projects (all genders),STARFACE GmbH,"Karlsruhe, Baden-Württemberg, Germany",2026-04-23,https://www.linkedin.com/jobs/view/4402865929 , ,li-4402865929,fulltime,,,,,,False,mid-senior level,Project Management and Information Technology,,,Telecommunications,https://de.linkedin.com/company/starface-gmbh,,,,,,,,,,,
linkedin,Working Student Project Management,Design Hotels,"Berlin, Berlin, Germany",2026-04-23,https://www.linkedin.com/jobs/view/4404717473 , ,li-4404717473,volunteer,,,,,,True,internship,Education and Training,,,Hospitality,https://de.linkedin.com/company/design-hotels,,,,,,,,,,,
linkedin,Working Student (f/m/d) - Global Events,SAP,"Berlin, Berlin, Germany",2026-04-23,https://www.linkedin.com/jobs/view/4393466618 , ,li-4393466618,internship,,,,,,False,not applicable,Marketing,,Careers@sap.com,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",https://de.linkedin.com/company/sap,,,,,,,,,,,
linkedin,Werkstudent:in / Praktikant:in Operations & Projektmanagement (m/w/d),User Rights,"Berlin, Berlin, Germany",2026-04-23,https://www.linkedin.com/jobs/view/4402868720 , ,li-4402868720,internship,,,,,,True,internship,Management,,,IT Services and IT Consulting,https://de.linkedin.com/company/user-rights,,,,,,,,,,,
linkedin,Working Student (m/f/d) Supply Chain Management,Evident Microscopy,"Hamburg, Hamburg, Germany",2026-04-23,https://www.linkedin.com/jobs/view/4402871071 , ,li-4402871071,parttime,,,,,,False,entry level,Supply Chain,,,Industrial Machinery Manufacturing,https://www.linkedin.com/company/evident-microscopy,,,,,,,,,,,
linkedin,Project Management Internship,YAMI Studios,"Berlin, Berlin, Germany",2026-04-22,https://www.linkedin.com/jobs/view/4402425295 , ,li-4402425295,internship,,,,,,False,internship,Other,,,Administrative and Support Services,https://de.linkedin.com/company/yami-studios,,,,,,,,,,,
linkedin,Werkstudent:in (all genders) mit Schwerpunkt Projektmanagement,Universitätsklinikum Hamburg Eppendorf,"Hamburg, Hamburg, Germany",2026-04-21,https://www.linkedin.com/jobs/view/4401958477 , ,li-4401958477,parttime,,,,,,False,internship,Administrative,,,Hospitals and Health Care,https://de.linkedin.com/company/universit-tsklinikum-hamburg-eppendorf,,,,,,,,,,,
linkedin,International Semi - finished Steel Parts Trader,Redstone Search Group,,2026-04-21,https://www.linkedin.com/jobs/view/4404536800 , ,li-4404536800,fulltime,,,,,,False,associate,Supply Chain and Sales,,,International Trade and Development and Wholesale Metals and Minerals,https://uk.linkedin.com/company/redstone-search,,,,,,,,,,,
linkedin,"Engineering Project Manager, Global Engineering Services International",Amazon,"Berlin, Berlin, Germany",2026-04-20,https://www.linkedin.com/jobs/view/4404340126 , ,li-4404340126,fulltime,,,,,,False,mid-senior level,"Project Management, Management, and Product Management",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,"Engineering Project Manager, Global Engineering Services International",Amazon,"Munich, Bavaria, Germany",2026-04-20,https://www.linkedin.com/jobs/view/4404335174 , ,li-4404335174,fulltime,,,,,,False,mid-senior level,"Project Management, Management, and Product Management",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Financial Analyst Intern,Amazon,"Munich, Bavaria, Germany",,https://www.linkedin.com/jobs/view/4334430524 , ,li-4334430524,fulltime,,,,,,False,not applicable,"Finance, Information Technology, and Accounting/Auditing",,,Software Development,https://www.linkedin.com/company/amazon,,,,,,,,,,,
linkedin,Private Equity Analyst Intern (w/m/d) (German speaking),CEPRES,"Munich, Bavaria, Germany",,https://www.linkedin.com/jobs/view/4405917447 , ,li-4405917447,internship,,,,,,False,internship,"Consulting, Analyst, and Finance",,,"Financial Services, Venture Capital and Private Equity Principals, and Capital Markets",https://de.linkedin.com/company/cepres,,,,,,,,,,,
linkedin,"Public Relations, Marketing & Social Media Manager (Praktikum) (Ref:1edXU)",RSight®,"Karlsruhe, Baden-Württemberg, Germany",,https://www.linkedin.com/jobs/view/4361275650 , ,li-4361275650,fulltime,,,,,,False,internship,Public Relations,,,Professional Services,https://fr.linkedin.com/company/rsight,,,,,,,,,,,
