site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Information Technology Project Manager,Telescope Recruitment,,2026-04-29,https://www.linkedin.com/jobs/view/4320567032 , ,li-4320567032,fulltime,,,,,,True,mid-senior level,Consulting and Information Technology,,,"Information Services and Technology, Information and Media",https://ca.linkedin.com/company/telescope-recruitment-incorporated,,,,,,,,,,,
linkedin,Projektassistenz / Technischer Projektkoordinator (m/w/d),SCHILLING GROUP,"Neunkirchen-Seelscheid, North Rhine-Westphalia, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4406092056 , ,li-4406092056,fulltime,,,,,,False,mid-senior level,Administrative,,karriere@schillinggroup.de,Computer and Network Security,https://de.linkedin.com/company/schilling-group-gmbh-co-kg,,,,,,,,,,,
linkedin,"Product Manager - (Fintech, Payments)",Delivery Hero,"Berlin, Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4406956559 , ,li-4406956559,fulltime,,,,,,False,mid-senior level,Marketing and Product Management,,inclusion@deliveryhero.com,Software Development and IT Services and IT Consulting,https://de.linkedin.com/company/delivery-hero-se,,,,,,,,,,,
linkedin,Senior Technical Product Manager,Veo Technologies,"Berlin, Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4328607878 , ,li-4328607878,fulltime,,,,,,False,mid-senior level,Product Management and Marketing,,,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",https://dk.linkedin.com/company/veo-technologies,,,,,,,,,,,
linkedin,Director of Product - Vendor Promotions,Delivery Hero,"Berlin, Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4407007807 , ,li-4407007807,fulltime,,,,,,False,director,Marketing and Product Management,,inclusion@deliveryhero.com,Software Development and IT Services and IT Consulting,https://de.linkedin.com/company/delivery-hero-se,,,,,,,,,,,
linkedin,Product Manager (w/m/d),Instaffo,"Cologne, North Rhine-Westphalia, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4398531469 , ,li-4398531469,fulltime,,,,,,False,entry level,Product Management and Management,,,IT Services and IT Consulting,https://de.linkedin.com/company/instaffo-gmbh,,,,,,,,,,,
linkedin,Produktmanager (m/w/d) im Bereich eHealth,Epikur Software GmbH & Co. KG,"Berlin, Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4406032862 , ,li-4406032862,fulltime,,,,,,False,associate,Information Technology,,,Software Development,https://de.linkedin.com/company/epikur-software-gmbh-co-kg,,,,,,,,,,,
linkedin,Product Manager Digital Solutions / Testing (m/w/d),Deutsche Apotheker- und Ärztebank - apoBank,"Düsseldorf, North Rhine-Westphalia, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4408074519 , ,li-4408074519,fulltime,,,,,,False,associate,Information Technology,,,Banking,https://de.linkedin.com/company/apobank,,,,,,,,,,,
linkedin,Product Manager- LOGICS & EtQ (m/f/x),DHL Supply Chain,"Bonn, North Rhine-Westphalia, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4405379814 , ,li-4405379814,fulltime,,,,,,False,mid-senior level,Product Management and Marketing,,,"Transportation, Logistics, Supply Chain and Storage",https://de.linkedin.com/company/dhl-supply-chain,,,,,,,,,,,
linkedin,Senior Solution Manager – AI & Data Solutions,Provectus,,2026-04-29,https://www.linkedin.com/jobs/view/4408257739 , ,li-4408257739,fulltime,,,,,,True,mid-senior level,Engineering and Information Technology,,,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",https://www.linkedin.com/company/provectus-it-inc,,,,,,,,,,,
linkedin,Produktmanager  (m/w/d),Sanomed Gesundheits- und Sportnahrungsmittelherstellung GmbH,"Vöhringen, Bavaria, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4408225832 , ,li-4408225832,fulltime,,,,,,False,associate,Sales,,,Food and Beverage Manufacturing,https://de.linkedin.com/company/sanomed-gesundheits--und-sportnahrungsmittelherstellung-gmbh,,,,,,,,,,,
linkedin,Integrations Product Manager,Moss,"Munich, Bavaria, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4408232688 , ,li-4408232688,fulltime,,,,,,False,mid-senior level,Project Management and Information Technology,,,Financial Services,https://de.linkedin.com/company/moss-finance,,,,,,,,,,,
linkedin,Produktmanager Metallkomponenten (m/w/d) Techn. Vertrieb & Kalkulation,Huissel GmbH,"Enkenbach-Alsenborn, Rhineland-Palatinate, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4408230032 , ,li-4408230032,fulltime,,,,,,False,mid-senior level,Product Management and Marketing,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/huisselgmbh,,,,,,,,,,,
linkedin,Produktmanager Kreditrisiko / Bonität (w/m/d),SCHUFA Holding AG,"Wiesbaden, Hesse, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4400762897 , ,li-4400762897,fulltime,,,,,,True,associate,Finance,,,Banking,https://de.linkedin.com/company/schufa-holding-ag,,,,,,,,,,,
linkedin,Group Product Manager - Platform,Sword Health,,2026-04-29,https://www.linkedin.com/jobs/view/4409004343 , ,li-4409004343,fulltime,,,,,,True,mid-senior level,Product Management and Marketing,,,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",https://www.linkedin.com/company/swordhealth,,,,,,,,,,,
linkedin,Senior Civil Engineer,NES Fircroft,"Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4408227867 , ,li-4408227867,contract,,,,,,True,mid-senior level,Engineering,,,Engineering Services,https://uk.linkedin.com/company/nes-fircroft,,,,,,,,,,,
linkedin,Senior Product Manager,Found By Few,,2026-04-29,https://www.linkedin.com/jobs/view/4406066162 , ,li-4406066162,fulltime,,,,,,True,mid-senior level,Product Management,,louis@foundbyfew.com,Internet Marketplace Platforms and Wellness and Fitness Services,https://uk.linkedin.com/company/foundbyfew,,,,,,,,,,,
linkedin,Projektkoordinator (m/w/d),Pfennigparade Business. Inklusiv.,"Munich, Bavaria, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4405593962 , ,li-4405593962,fulltime,,,,,,False,entry level,Other,,,Non-profit Organizations,https://de.linkedin.com/company/pfennigparade-business-inklusiv,,,,,,,,,,,
linkedin,Projektkoordinator (m/w/d),BEEvalid GmbH,"Lauf an der Pegnitz, Bavaria, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4405557577 , ,li-4405557577,fulltime,,,,,,False,mid-senior level,,,info@beevalid.de,"Technology, Information and Media",https://de.linkedin.com/company/beevalid,,,,,,,,,,,
linkedin,Resource Manager,ERSG Ltd,"Berlin, Berlin, Germany",2026-04-29,https://www.linkedin.com/jobs/view/4406038687 , ,li-4406038687,contract,,,,,,False,mid-senior level,Project Management,,,Services for Renewable Energy,https://uk.linkedin.com/company/ersg-ltd,,,,,,,,,,,
linkedin,Junior Project Manager,Haystack,,2026-04-29,https://www.linkedin.com/jobs/view/4406980119 , ,li-4406980119,fulltime,,,,,,False,mid-senior level,Project Management,,,"Technology, Information and Internet",https://uk.linkedin.com/company/wearehaystack,,,,,,,,,,,
linkedin,AI Technical Project Manager,Jobgether,,2026-04-29,https://www.linkedin.com/jobs/view/4406946961 , ,li-4406946961,parttime,,,,,,True,mid-senior level,Project Management and Information Technology,,,Internet Marketplace Platforms,https://be.linkedin.com/company/jobgether,,,,,,,,,,,
