site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Technische Assistenz im Labor 50 - 100% (m/w/d),LMU Klinikum München,"Munich, Bavaria, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4456080601 , ,li-4456080601,fulltime,,,,,,False,entry level,Other,,,Hospitals and Health Care,https://de.linkedin.com/company/lmu-klinikum,,,,,,,,,,,
linkedin,Junior Analyst - Healthcare (m/f/d),Statista,"Hamburg, Hamburg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4458375527 , ,li-4458375527,fulltime,,,,,,False,entry level,Health Care Provider,,,"Technology, Information and Media",https://de.linkedin.com/company/statista,,,,,,,,,,,
linkedin,Masterarbeit Diagnosedatenintegration in modernen Fahrzeugdiagnosesystemen,Porsche AG,"Weissach, Baden-Württemberg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4401913840 , ,li-4401913840,fulltime,,,,,,False,internship,Education and Training,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/porsche-ag,,,,,,,,,,,
linkedin,"Wissenschaftliche:r Mitarbeiter:in (m/w/d), EG 13 TV-H,  Fachbereich Elektrotechnik/Informatik - Fachgebiet Programmiersprachen/-methodik",University of Kassel,"Kassel, Hesse, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4459817117 , ,li-4459817117,fulltime,,,,,,False,mid-senior level,Other,,,Internet Publishing,https://de.linkedin.com/school/uni-kassel/,,,,,,,,,,,
linkedin,Research Science Analyst - Hydrogen Insights,McKinsey & Company,"Munich, Bavaria, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4449656968 , ,li-4449656968,fulltime,,,,,,False,entry level,Analyst and Research,,,Environmental Services and Oil and Gas,https://www.linkedin.com/company/mckinsey,,,,,,,,,,,
linkedin,R&D Technician (m/w/d),Mitsubishi Chemical Europe,"Vreden, North Rhine-Westphalia, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4457774101 , ,li-4457774101,fulltime,,,,,,False,entry level,Business Development and Production,,,Chemical Manufacturing,https://de.linkedin.com/company/mitsubishi-chemical-europe,,,,,,,,,,,
linkedin,Research Assistant/Doctoral Student (f/m/d) - Chair of Strategy and Marketing,WHU Entrepreneurship Roundtable,"Düsseldorf, North Rhine-Westphalia, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4460342358 , ,li-4460342358,fulltime,,,,,,True,internship,Marketing and Sales,,martin.fassnacht@whu.edu,Education Administration Programs,https://de.linkedin.com/company/whu-entrepreneurship-roundtable,,,,,,,,,,,
linkedin,PhD Position - Nanoscale charge transport in electronic materials for advanced nanoelectronic applications,Forschungszentrum Jülich,"Jülich, North Rhine-Westphalia, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4459829041 , ,li-4459829041,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Internet Publishing,https://de.linkedin.com/company/forschungszentrum-julich,,,,,,,,,,,
linkedin,Doktorand (w/m/d) zum Thema Laserstrahlschweißen mit dynamischer Strahloszillation,TRUMPF,"Ditzingen, Baden-Württemberg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4449149079 , ,li-4449149079,fulltime,,,,,,False,internship,Education and Training,,mike.loehmann@trumpf.com,Machinery Manufacturing,https://www.linkedin.com/company/trumpf-se-co-kg,,,,,,,,,,,
linkedin,PhD Position on Inversion of Dynamical Electron Diffraction,European Microscopy Society,"Berlin, Berlin, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4458007333 , ,li-4458007333,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,secr@eurmicsoc.org,Research Services,https://www.linkedin.com/company/european-microscopy-society,,,,,,,,,,,
linkedin,Technische Assistenz / BTA / PhyTA / MTA (m/w/d),LMU Klinikum München,"Munich, Bavaria, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4456093526 , ,li-4456093526,fulltime,,,,,,False,entry level,"Research, Analyst, and Information Technology",,,Hospitals and Health Care,https://de.linkedin.com/company/lmu-klinikum,,,,,,,,,,,
linkedin,Senior R&D Scientist (m/w/d),Analytik NEWS,"Bremen, Bremen, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4457752632 , ,li-4457752632,fulltime,,,,,,False,mid-senior level,"Research, Analyst, and Information Technology",,,"Technology, Information and Internet",https://de.linkedin.com/company/analytik-news,,,,,,,,,,,
linkedin,"Laborant/in, technischer Mitarbeiter/in, Scientist im Bereich Pharmazeutische Analytik und Entwicklung",Pensatech Pharma GmbH,"Berlin, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4457260629 , ,li-4457260629,fulltime,,,,,,False,entry level,,,info@pensatechpharma.com,Pharmaceutical Manufacturing,https://de.linkedin.com/company/pensatechpharma,,,,,,,,,,,
linkedin,Lab Research Scientist (all genders)- befristet 2 Jahre,Reckitt,"Heidelberg, Baden-Württemberg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4459833180 , ,li-4459833180,fulltime,,,,,,False,entry level,Other,,,Consumer Goods Rental,https://uk.linkedin.com/company/reckitt,,,,,,,,,,,
linkedin,"Academic employee (m/f/d), PostDoc- Institute of Stochastics - reference no. 26111",Ulm University,"Ulm, Baden-Württemberg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4459829035 , ,li-4459829035,temporary,,,,,,False,internship,Other,,,Internet Publishing,https://de.linkedin.com/school/ulm-university/,,,,,,,,,,,
linkedin,Mitarbeiter (m/w/d) Produktentwicklung Infant Nutrition,"Milchwerke ""Mittelelbe"" GmbH","Stendal, Saxony-Anhalt, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4458015011 , ,li-4458015011,fulltime,,,,,,False,entry level,Product Management and Marketing,,,Food and Beverage Manufacturing,https://de.linkedin.com/company/elb-milch,,,,,,,,,,,
linkedin,Wissenschaftliche Mitarbeiterin/Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich Metallzerstäubung und Sprühkompaktieren,"German Association of Women Engineers - dib, deutscher ingenieurinnenbund","Bremen, Bremen, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4459698832 , ,li-4459698832,fulltime,,,,,,False,entry level,"Research, Analyst, and Information Technology",,,Non-profit Organizations,https://de.linkedin.com/company/german-association-of-women-engineers,,,,,,,,,,,
linkedin,Investment Analyst Program (all genders),Hasso Plattner Foundation,"Potsdam, Brandenburg, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4423904491 , ,li-4423904491,fulltime,,,,,,False,entry level,Analyst,,,Investment Management and Venture Capital and Private Equity Principals,https://de.linkedin.com/company/hasso-plattner-foundation,,,,,,,,,,,
linkedin,Senior Operations Research Scientist,Just Eat Takeaway.com,"Berlin, Berlin, Germany",2026-08-27,https://www.linkedin.com/jobs/view/4417211524 , ,li-4417211524,fulltime,,,,,,False,not applicable,Other,,,Software Development,https://nl.linkedin.com/company/just-eat-takeaway-com,,,,,,,,,,,
linkedin,Doktorand Validierung digitaler Absicherungsmethoden für hochautomatisiertes Fahren (w/m/x),BMW Group,"Munich, Bavaria, Germany",2026-08-26,https://www.linkedin.com/jobs/view/4437286637 , ,li-4437286637,fulltime,,,,,,False,internship,Education and Training,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/bmw-group,,,,,,,,,,,
