site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Intern - Battery Diagnostics,Huawei,"Nuremberg, Bavaria, Germany",2026-09-10,https://www.linkedin.com/jobs/view/4464153906 , ,li-4464153906,internship,,,,,,False,internship,Education and Training,,,Telecommunications,https://cn.linkedin.com/company/huawei,,,,,,,,,,,
linkedin,Working Student - Microcontroller Communication (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",2026-09-10,https://www.linkedin.com/jobs/view/4456723477 , ,li-4456723477,fulltime,,,,,,False,internship,Education and Training,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,Intern - Energy Management System Development & Battery Optimization,Huawei,"Nuremberg, Bavaria, Germany",2026-09-10,https://www.linkedin.com/jobs/view/4464160215 , ,li-4464160215,internship,,,,,,False,internship,Management and Manufacturing,,,Telecommunications,https://cn.linkedin.com/company/huawei,,,,,,,,,,,
linkedin,Intern (m/f/d) Hardware Integration & Robot Control Systems,Agile Robots SE,"Munich, Bavaria, Germany",2026-09-09,https://www.linkedin.com/jobs/view/4463004806 , ,li-4463004806,internship,,,,,,False,internship,Information Technology,,,"Automation Machinery Manufacturing, Robotics Engineering, and Robot Manufacturing",https://de.linkedin.com/company/agile-robots-se,,,,,,,,,,,
linkedin,Master Thesis Student in Quantum Information Technology (m/f/d),German Aerospace Center (DLR),"Oberpfaffenhofen, Bavaria, Germany",2026-09-09,https://www.linkedin.com/jobs/view/4464346365 , ,li-4464346365,fulltime,,,,,,False,internship,Education and Training,,,Research Services,https://de.linkedin.com/company/dlr,,,,,,,,,,,
linkedin,"Werkstudent*in, Bachelor- oder Masterarbeiten Photonik",Fraunhofer Heinrich Hertz Institute HHI,"Berlin, Germany",2026-09-08,https://www.linkedin.com/jobs/view/4404466309 , ,li-4404466309,fulltime,,,,,,False,internship,Administrative,,patrick.runge@hhi.fraunhofer.de,Research Services,https://de.linkedin.com/company/fraunhofer-hhi,,,,,,,,,,,
linkedin,Werkstudent in der Robotik-Entwicklung (m/w/d),Volt Venture GmbH,"Münster, North Rhine-Westphalia, Germany",2026-09-07,https://www.linkedin.com/jobs/view/4461896856 , ,li-4461896856,parttime,,,,,,False,entry level,Engineering,,,Retail,https://de.linkedin.com/company/volt-venture-gmbh,,,,,,,,,,,
linkedin,Working Student FPGA Design (m/f/d),AES Aerospace Embedded Solutions GmbH,"Munich, Bavaria, Germany",2026-09-07,https://www.linkedin.com/jobs/view/4462218223 , ,li-4462218223,parttime,,,,,,False,entry level,Engineering,,,Aviation & Aerospace,https://de.linkedin.com/company/aes-aerospace-embedded-solutions-gmbh,,,,,,,,,,,
linkedin,Praktikum / Master-Arbeit (m/w/d) im Bereich KI für Netzwerksicherheit und Orchestrierung,ABB,"Mannheim, Baden-Württemberg, Germany",2026-09-07,https://www.linkedin.com/jobs/view/4449735517 , ,li-4449735517,fulltime,,,,,,False,mid-senior level,Other,,,Automation Machinery Manufacturing,https://ch.linkedin.com/company/abb,,,,,,,,,,,
linkedin,Working Student (d/f/m) Technology & Innovation Research,LIXIL,"Hemer, North Rhine-Westphalia, Germany",2026-09-06,https://www.linkedin.com/jobs/view/4386888175 , ,li-4386888175,parttime,,,,,,False,internship,Education and Training,,,Manufacturing,https://jp.linkedin.com/company/lixil-global,,,,,,,,,,,
linkedin,"MOTEON - Abschlussarbeiten, Werkstudententätigkeiten und Praktika",Infineon Technologies,"Ilmenau, Thuringia, Germany",2026-09-05,https://www.linkedin.com/jobs/view/4228297167 , ,li-4228297167,fulltime,,,,,,False,internship,Education and Training,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,Werkstudent - Mechatronik für die Leistungselektronik (all genders),Fraunhofer IISB,"Erlangen, Bavaria, Germany",,https://www.linkedin.com/jobs/view/4464866832 , ,li-4464866832,fulltime,,,,,,False,internship,Engineering and Information Technology,,,Research Services,https://de.linkedin.com/company/fraunhofer-iisb,,,,,,,,,,,
